huffmanCodingEff, m199, t50, w2, 15344, 158, 41046, 57777, 206.2613, 0.849, 1874, 239, a2, 101110
insertSort, m108, t50, w4, 2352, 149, 12364, 15061, 114.4815, 0.9444, 1900, 40, a2, 011111
parg, m2509, t52, w4, 426574, 171, 2560, 429909, 1.0203, 1.0, 418, 2518, a3, 001011
bubbleSort, m113, t50, w2, 3662, 165, 213954, 218608, 1893.3982, 0.9182, 1900, 41, a3, 010110
squareMatrix, m182, t50, w8, 4653, 22, 10426, 15182, 57.2857, 1.0, 903, 72, a2, 101011
insertSort, m108, t50, w4, 2312, 51, 12386, 14819, 114.6852, 0.9444, 1900, 40, a3, 101011
bubbleSort, m113, t50, w2, 3682, 160, 215352, 219963, 1905.7699, 0.9182, 1900, 41, a2, 111110
genPassword, m49, t100, w8, 973, 39, 959, 2043, 19.5714, 0.8367, 398, 63, a5, 100011
parg, m2509, t52, w8, 440783, 126, 6057, 448472, 2.4141, 1.0, 418, 2518, a4, 000111
huffmanCoding, m314, t50, w8, 18263, 21, 15338, 35176, 48.8471, 0.9279, 1874, 318, a2, 111110
squareMatrix, m182, t50, w2, 7040, 154, 55609, 63898, 305.544, 1.0, 903, 72, a5, 000110
factorial, m31, t100, w4, 506, 301, 7066, 7931, 227.9355, 0.9677, 403, 18, a3, 000010
mergeSort, m226, t50, w8, 7180, 100, 10614, 18158, 46.9646, 0.9336, 1900, 129, a3, 010111
bubbleSort, m113, t50, w2, 3695, 163, 215833, 220242, 1910.0265, 0.9182, 1900, 41, a3, 100111
dictionaryOrder, m71, t100, w2, 1968, 324, 33524, 36316, 472.169, 0.9265, 8248, 32, a2, 101110
huffmanCoding, m314, t50, w4, 17880, 52, 34318, 52431, 109.293, 0.9013, 1874, 318, a3, 110010
parg, m2509, t52, w8, 443597, 112, 822, 445153, 0.3276, 1.0, 418, 2518, a2, 010010
parg, m2509, t52, w2, 429132, 171, 8701, 438592, 3.4679, 1.0, 418, 2518, a2, 110010
longestIncrease, m114, t50, w8, 3171, 2281, 24875, 30763, 218.2018, 0.9196, 1946, 70, a3, 110111
maxArrSumNeg, m112, t50, w8, 2675, 21, 10140, 13343, 90.5357, 0.9358, 1910, 63, a3, 111110
mergeSort, m226, t50, w2, 10184, 160, 68363, 78803, 302.4912, 0.9336, 1900, 129, a5, 101011
longestIncrease, m114, t50, w2, 4914, 9535, 130063, 145238, 1140.9035, 0.9196, 1946, 70, a2, 001110
anagram, m60, t100, w2, 1593, 321, 8119, 10095, 135.3167, 0.8667, 1370, 37, a2, 010011
insertSort, m108, t50, w8, 2414, 154, 6372, 9011, 59, 0.9444, 1900, 40, a2, 000010
add, m12, t100, w2, 279, 322, 415, 1078, 34.5833, 0.9167, 583, 13, a5, 011011
insertSort, m108, t50, w8, 2347, 140, 6346, 8995, 58.7593, 0.9444, 1900, 40, a2, 001111
parg, m2509, t52, w8, 438173, 145, 865, 449480, 0.3448, 1.0, 418, 2518, a2, 000110
insertSort, m108, t50, w4, 2386, 50, 12356, 14866, 114.4074, 0.9444, 1900, 40, a3, 100010
quickSort, m127, t50, w8, 4686, 144, 15006, 20458, 118.1575, 0.9603, 1900, 56, a2, 011110
factorial, m31, t100, w2, 774, 321, 19705, 20863, 635.6452, 0.9677, 403, 18, a5, 001010
minProd, m181, t50, w4, 4392, 50, 5278, 9798, 29.1602, 0.7845, 1946, 72, a2, 101011
longestIncrease, m114, t50, w2, 10224, 9825, 129878, 150635, 1139.2807, 0.9196, 1946, 70, a3, 101100
transpose, m149, t50, w8, 3747, 146, 10121, 14714, 67.9262, 0.9054, 903, 40, a3, 000110
factorial, m31, t100, w8, 497, 292, 5076, 5926, 163.7419, 0.9677, 403, 18, a3, 010010
dictionaryOrder, m71, t100, w2, 1909, 316, 33566, 36263, 472.7606, 0.9265, 8248, 32, a2, 100110
massive, m49, t60, w4, 664, 38260, 61637, 100615, 1257.898, 1.0, 169, 13, a5, 111010
primes, m68, t100, w2, 1739, 323, 7219, 9621, 106.1618, 0.8793, 398, 30, a2, 111111
quickSort, m127, t50, w4, 4457, 153, 27883, 32944, 219.5512, 0.9603, 1900, 56, a2, 010111
anagram, m60, t100, w2, 1610, 316, 7964, 10211, 132.7333, 0.8667, 1370, 37, a4, 001111
squareMatrix, m182, t50, w2, 7085, 162, 55759, 64117, 306.3681, 1.0, 903, 72, a5, 010110
primes, m68, t100, w2, 1759, 314, 7217, 9741, 106.1324, 0.8793, 398, 30, a3, 100110
squareMatrix, m182, t50, w4, 4620, 144, 23145, 27991, 127.1703, 1.0, 903, 72, a2, 000011
squareMatrix, m182, t50, w4, 4641, 49, 22632, 28409, 124.3516, 1.0, 903, 72, a5, 110110
genPassword, m49, t100, w2, 1518, 321, 5497, 7401, 112.1837, 0.8367, 398, 63, a2, 001010
transpose, m149, t50, w8, 3839, 144, 10122, 14627, 67.9329, 0.9054, 903, 40, a3, 010111
factorial, m31, t100, w2, 1571, 326, 19533, 21489, 630.0968, 0.9677, 403, 18, a3, 001000
parg, m2509, t52, w8, 435635, 19, 824, 437089, 0.3284, 1.0, 418, 2518, a3, 100011
parg, m2509, t52, w2, 429958, 175, 8616, 455636, 3.434, 1.0, 418, 2518, a5, 101110
insertSort, m108, t50, w4, 2412, 154, 12270, 14904, 113.6111, 0.9444, 1900, 40, a4, 011010
add, m12, t100, w4, 154, 95, 133, 449, 11.0833, 0.9167, 583, 13, a4, 110011
anagram, m60, t100, w4, 1020, 103, 5003, 6267, 83.3833, 0.9286, 1370, 37, a3, 101111
insertSort, m108, t50, w4, 2400, 51, 12338, 14971, 114.2407, 0.9444, 1900, 40, a2, 100111
mergeSort, m226, t50, w2, 10253, 159, 68116, 79854, 301.3982, 0.9336, 1900, 129, a4, 100110
huffmanCodingEff, m199, t50, w4, 10250, 47, 13741, 25261, 69.0503, 0.849, 1874, 239, a2, 100110
factorial, m31, t100, w2, 1628, 319, 19547, 21557, 630.5484, 0.9677, 403, 18, a2, 110000
genPassword, m49, t100, w2, 1448, 309, 5584, 7410, 113.9592, 0.8367, 398, 63, a3, 001011
parg, m2509, t52, w2, 438192, 174, 8633, 447586, 3.4408, 1.0, 418, 2518, a5, 010011
factorial, m31, t100, w4, 523, 299, 7032, 7968, 226.8387, 0.9677, 403, 18, a3, 001111
parg, m2509, t52, w4, 425456, 55, 2584, 431803, 1.0299, 1.0, 418, 2518, a2, 101111
selectSort, m92, t50, w8, 2071, 21, 5875, 8417, 63.8587, 0.9101, 1900, 45, a3, 110110
parg, m2509, t52, w2, 439330, 175, 8438, 448538, 3.3631, 1.0, 418, 2518, a4, 000011
longestIncrease, m114, t50, w8, 3259, 2244, 24419, 30526, 214.2018, 0.9196, 1946, 70, a3, 111110
longestIncrease, m114, t50, w2, 4944, 9759, 131073, 146334, 1149.7632, 0.9196, 1946, 70, a2, 100111
mergeSort, m226, t50, w2, 10203, 163, 68113, 78573, 301.385, 0.9336, 1900, 129, a4, 111010
transpose, m149, t50, w4, 3791, 48, 20924, 24848, 140.4295, 0.8993, 903, 40, a5, 101010
squareMatrix, m182, t50, w4, 4685, 49, 22578, 27757, 124.0549, 1.0, 903, 72, a5, 110111
longestIncrease, m114, t50, w4, 3184, 3456, 48663, 55395, 426.8684, 0.9035, 1946, 70, a3, 110010
dictionaryOrder, m71, t100, w4, 1150, 100, 11622, 13357, 163.6901, 0.9265, 8248, 32, a2, 101110
add, m12, t100, w2, 278, 316, 385, 1037, 32.0833, 0.9167, 583, 13, a3, 100011
add, m12, t100, w2, 278, 322, 343, 1083, 28.5833, 0.9167, 583, 13, a2, 110110
bubbleSort, m113, t50, w2, 7322, 161, 213408, 221442, 1888.5664, 0.9182, 1900, 41, a3, 011101
genPassword, m49, t100, w2, 1520, 312, 5562, 7464, 113.5102, 0.8367, 398, 63, a2, 011011
longestIncrease, m114, t50, w4, 3173, 3449, 47673, 54392, 418.1842, 0.9035, 1946, 70, a4, 111011
factorial, m31, t100, w8, 505, 38, 5089, 5847, 164.1613, 0.9677, 403, 18, a2, 101110
parg, m2509, t52, w2, 429437, 170, 8762, 455477, 3.4922, 1.0, 418, 2518, a3, 110110
parg, m2509, t52, w2, 439110, 175, 8714, 455034, 3.4731, 1.0, 418, 2518, a3, 000111
squareMatrix, m182, t50, w8, 4805, 19, 10318, 15364, 56.6923, 1.0, 903, 72, a3, 100111
bubbleSort, m113, t50, w2, 3676, 164, 214841, 219260, 1901.2478, 0.9182, 1900, 41, a2, 000111
huffmanCoding, m314, t50, w4, 17913, 161, 34183, 52434, 108.8631, 0.9013, 1874, 318, a2, 000010
add, m12, t100, w2, 277, 319, 391, 1043, 32.5833, 0.9167, 583, 13, a3, 010010
factorial, m31, t100, w2, 1609, 326, 19487, 21483, 628.6129, 0.9677, 403, 18, a2, 010001
factorial, m31, t100, w2, 1616, 322, 19469, 21465, 628.0323, 0.9677, 403, 18, a3, 000000
parg, m2509, t52, w8, 446987, 115, 806, 448510, 0.3212, 1.0, 418, 2518, a5, 010011
parg, m2509, t52, w8, 433013, 22, 810, 435601, 0.3228, 1.0, 418, 2518, a3, 111111
huffmanCoding, m314, t50, w4, 17978, 161, 34237, 52555, 109.035, 0.9013, 1874, 318, a2, 011011
mergeSort, m226, t50, w2, 10169, 159, 68060, 78480, 301.1504, 0.9336, 1900, 129, a3, 110011
huffmanCoding, m314, t50, w8, 18714, 154, 15293, 35622, 48.7038, 0.9279, 1874, 318, a2, 000110
squareMatrix, m182, t50, w4, 4643, 50, 22776, 28566, 125.1429, 1.0, 903, 72, a5, 111110
selectSort, m92, t50, w8, 1995, 23, 5833, 8076, 63.4022, 0.9101, 1900, 45, a3, 101111
longestIncrease, m114, t50, w2, 9762, 9485, 130293, 150270, 1142.9211, 0.9196, 1946, 70, a4, 000100
huffmanCoding, m314, t50, w4, 18431, 147, 34511, 53283, 109.9076, 0.9013, 1874, 318, a3, 001010
bubbleSort, m113, t50, w2, 7393, 163, 215155, 223526, 1904.0265, 0.9182, 1900, 41, a2, 111100
minProd, m181, t50, w2, 6665, 167, 15814, 23731, 87.3702, 0.8659, 1946, 72, a4, 000110
factorial, m31, t100, w2, 785, 320, 19540, 20704, 630.3226, 0.9677, 403, 18, a2, 100011
longestIncrease, m114, t50, w8, 3205, 2303, 24780, 30675, 217.3684, 0.9196, 1946, 70, a3, 111111
quickSort, m127, t50, w8, 4659, 21, 15006, 20013, 118.1575, 0.9603, 1900, 56, a3, 110111
factorial, m31, t100, w8, 505, 280, 5081, 5931, 163.9032, 0.9677, 403, 18, a2, 010010
parg, m2509, t52, w8, 434542, 148, 813, 446866, 0.324, 1.0, 418, 2518, a3, 001110
insertSort, m108, t50, w4, 2358, 50, 12391, 14874, 114.7315, 0.9444, 1900, 40, a2, 101010
anagram, m60, t100, w2, 1615, 320, 8148, 10135, 135.8, 0.8667, 1370, 37, a4, 100011
squareMatrix, m182, t50, w8, 4740, 21, 10333, 15175, 56.7747, 1.0, 903, 72, a2, 100011
mergeSort, m226, t50, w2, 10162, 160, 68144, 79120, 301.5221, 0.9336, 1900, 129, a2, 111111
mergeSort, m226, t50, w4, 6835, 49, 22840, 30149, 101.0619, 0.9336, 1900, 129, a2, 111111
huffmanCodingEff, m199, t50, w4, 10328, 45, 13775, 25383, 69.2211, 0.849, 1874, 239, a3, 110110
selectSort, m92, t50, w4, 2052, 148, 15008, 17797, 163.1304, 0.9101, 1900, 45, a3, 001110
mergeSort, m226, t50, w4, 6928, 49, 22697, 29768, 100.4292, 0.9336, 1900, 129, a5, 110011
insertSort, m108, t50, w4, 2340, 159, 12354, 14926, 114.3889, 0.9444, 1900, 40, a2, 011010
squareMatrix, m182, t50, w4, 4593, 48, 23168, 27889, 127.2967, 1.0, 903, 72, a3, 100011
huffmanCodingEff, m199, t50, w2, 15013, 163, 40868, 57293, 205.3668, 0.849, 1874, 239, a3, 000110
squareMatrix, m182, t50, w8, 4750, 146, 10410, 15399, 57.1978, 1.0, 903, 72, a2, 000010
mergeSort, m226, t50, w4, 6748, 146, 22839, 29825, 101.0575, 0.9336, 1900, 129, a2, 000011
longestIncrease, m114, t50, w2, 4853, 9502, 129880, 144836, 1139.2982, 0.9196, 1946, 70, a4, 110111
insertSort, m108, t50, w4, 2361, 51, 12431, 14915, 115.1019, 0.9444, 1900, 40, a5, 101011
transpose, m149, t50, w8, 3817, 20, 10120, 14445, 67.9195, 0.9054, 903, 40, a3, 100111
squareMatrix, m182, t50, w4, 4766, 155, 23183, 28182, 127.3791, 1.0, 903, 72, a3, 000010
insertSort, m108, t50, w4, 2377, 156, 12321, 14929, 114.0833, 0.9444, 1900, 40, a3, 011011
huffmanCodingEff, m199, t50, w4, 10278, 50, 13806, 24765, 69.3769, 0.849, 1874, 239, a3, 110111
parg, m2509, t52, w4, 425326, 53, 2574, 444322, 1.0259, 1.0, 418, 2518, a2, 101110
huffmanCoding, m314, t50, w8, 18613, 21, 15353, 34513, 48.8949, 0.9279, 1874, 318, a2, 110111
genPassword, m49, t100, w2, 1463, 313, 5524, 7363, 112.7347, 0.8367, 398, 63, a3, 001010
factorial, m31, t100, w2, 1601, 313, 19528, 21500, 629.9355, 0.9677, 403, 18, a3, 110001
factorial, m31, t100, w8, 521, 42, 5261, 5878, 169.7097, 0.9677, 403, 18, a5, 101011
factorial, m31, t100, w4, 504, 293, 7037, 7973, 227, 0.9677, 403, 18, a2, 010111
parg, m2509, t52, w4, 425197, 53, 2868, 444589, 1.1431, 1.0, 418, 2518, a4, 111110
factorial, m31, t100, w2, 1583, 324, 19454, 21423, 627.5484, 0.9677, 403, 18, a4, 010000
factorial, m31, t100, w4, 534, 102, 7036, 7729, 226.9677, 0.9677, 403, 18, a2, 100011
factorial, m31, t100, w8, 511, 41, 5080, 5689, 163.871, 0.9677, 403, 18, a3, 111010
dictionaryOrder, m71, t100, w2, 1934, 317, 33864, 36593, 476.9577, 0.9265, 8248, 32, a3, 001110
huffmanCoding, m314, t50, w8, 18838, 23, 15322, 34690, 48.7962, 0.9279, 1874, 318, a2, 101111
genPassword, m49, t100, w8, 972, 40, 966, 2045, 19.7143, 0.8367, 398, 63, a2, 101010
mergeSort, m226, t50, w2, 10291, 164, 68320, 80096, 302.3009, 0.9336, 1900, 129, a4, 011110
anagram, m60, t100, w2, 1619, 317, 8092, 10085, 134.8667, 0.8667, 1370, 37, a3, 000011
minProd, m181, t50, w2, 6738, 159, 15807, 23788, 87.3315, 0.8659, 1946, 72, a2, 000110
minProd, m181, t50, w4, 4499, 48, 5289, 9913, 29.221, 0.7845, 1946, 72, a2, 100011
maxArrSumNeg, m112, t50, w8, 2641, 131, 10121, 13515, 90.3661, 0.9358, 1910, 63, a2, 011110
squareMatrix, m182, t50, w8, 4742, 23, 10365, 15216, 56.9505, 1.0, 903, 72, a3, 111011
factorial, m31, t100, w2, 796, 323, 19545, 20911, 630.4839, 0.9677, 403, 18, a2, 011110
factorial, m31, t100, w2, 1599, 321, 19466, 21654, 627.9355, 0.9677, 403, 18, a3, 101100
mergeSort, m226, t50, w2, 10272, 164, 68112, 78641, 301.3805, 0.9336, 1900, 129, a2, 100011
genPassword, m49, t100, w8, 949, 40, 941, 1996, 19.2041, 0.8367, 398, 63, a2, 111011
dictionaryOrder, m71, t100, w4, 1218, 301, 11648, 13634, 164.0563, 0.9265, 8248, 32, a3, 001110
squareMatrix, m182, t50, w4, 4849, 146, 23383, 28463, 128.478, 1.0, 903, 72, a3, 010010
parg, m2509, t52, w2, 439818, 174, 8695, 456713, 3.4655, 1.0, 418, 2518, a2, 000111
squareMatrix, m182, t50, w2, 7043, 156, 55717, 63787, 306.1374, 1.0, 903, 72, a5, 010111
genPassword, m49, t100, w8, 971, 37, 954, 2030, 19.4694, 0.8367, 398, 63, a5, 110010
transpose, m149, t50, w2, 5802, 160, 62298, 68345, 418.1074, 0.8993, 903, 40, a2, 010011
mergeSort, m226, t50, w8, 6866, 114, 10556, 17632, 46.708, 0.9336, 1900, 129, a3, 010011
anagram, m60, t100, w2, 1590, 322, 7955, 10178, 132.5833, 0.8667, 1370, 37, a4, 111111
longestIncrease, m114, t50, w2, 9795, 9460, 128875, 148567, 1130.4825, 0.9196, 1946, 70, a2, 001101
transpose, m149, t50, w4, 3844, 151, 20863, 24939, 140.0201, 0.8993, 903, 40, a2, 010011
add, m12, t100, w2, 292, 318, 401, 1067, 33.4167, 0.9167, 583, 13, a3, 100010
huffmanCoding, m314, t50, w8, 18658, 128, 15335, 34870, 48.8376, 0.9279, 1874, 318, a2, 000111
primes, m68, t100, w4, 1162, 98, 2561, 3976, 37.6618, 0.8793, 398, 30, a4, 110111
transpose, m149, t50, w4, 3783, 150, 20891, 24912, 140.2081, 0.8993, 903, 40, a5, 010011
genPassword, m49, t100, w8, 963, 39, 943, 2012, 19.2449, 0.8367, 398, 63, a2, 111010
parg, m2509, t52, w4, 428186, 54, 8313, 440210, 3.3133, 1.0, 418, 2518, a4, 100111
anagram, m60, t100, w4, 1038, 95, 5002, 6279, 83.3667, 0.9286, 1370, 37, a3, 110111
parg, m2509, t52, w2, 438132, 174, 8622, 447520, 3.4364, 1.0, 418, 2518, a5, 100010
mergeSort, m226, t50, w2, 10230, 162, 68165, 79233, 301.615, 0.9336, 1900, 129, a4, 100111
mergeSort, m226, t50, w8, 6910, 152, 10598, 17759, 46.8938, 0.9336, 1900, 129, a2, 000011
factorial, m31, t100, w4, 522, 305, 7040, 7931, 227.0968, 0.9677, 403, 18, a2, 010010
squareMatrix, m182, t50, w4, 4736, 49, 23108, 29005, 126.967, 1.0, 903, 72, a2, 101110
mergeSort, m226, t50, w2, 10156, 159, 69038, 79442, 305.4779, 0.9336, 1900, 129, a4, 010011
insertSort, m108, t50, w8, 2380, 146, 6369, 9031, 58.9722, 0.9444, 1900, 40, a3, 011111
bubbleSort, m113, t50, w4, 2472, 50, 77016, 80304, 681.5575, 0.9182, 1900, 41, a2, 101110
factorial, m31, t100, w2, 786, 327, 19543, 20714, 630.4194, 0.9677, 403, 18, a3, 100010
genPassword, m49, t100, w4, 1018, 100, 1967, 3153, 40.1429, 0.8367, 398, 63, a5, 110011
genPassword, m49, t100, w4, 969, 101, 2003, 3136, 40.8776, 0.8367, 398, 63, a2, 101011
bubbleSort, m113, t50, w2, 3709, 162, 213623, 218304, 1890.469, 0.9182, 1900, 41, a3, 011110
bubbleSort, m113, t50, w2, 3662, 174, 214704, 219377, 1900.0354, 0.9182, 1900, 41, a3, 000110
parg, m2509, t52, w2, 428756, 176, 8715, 448767, 3.4735, 1.0, 418, 2518, a4, 101111
factorial, m31, t100, w8, 504, 41, 5082, 5720, 163.9355, 0.9677, 403, 18, a3, 101111
dictionaryOrder, m71, t100, w8, 1171, 40, 5003, 6644, 70.4648, 0.9265, 8248, 32, a3, 110110
primes, m68, t100, w4, 1132, 99, 2532, 3924, 37.2353, 0.8793, 398, 30, a3, 111111
parg, m2509, t52, w8, 435631, 22, 809, 437060, 0.3224, 1.0, 418, 2518, a5, 110011
maxArrSumNeg, m112, t50, w2, 7695, 158, 45941, 54486, 410.1875, 0.9358, 1910, 63, a4, 010100
genPassword, m49, t100, w4, 1014, 97, 1875, 3055, 38.2653, 0.8367, 398, 63, a4, 111010
mergeSort, m226, t50, w4, 6893, 157, 23007, 30154, 101.8009, 0.9336, 1900, 129, a5, 000011
insertSort, m108, t50, w8, 2352, 21, 6309, 8759, 58.4167, 0.9444, 1900, 40, a3, 100011
factorial, m31, t100, w2, 1636, 321, 19463, 21479, 627.8387, 0.9677, 403, 18, a4, 011000
add, m12, t100, w2, 271, 319, 357, 1071, 29.75, 0.9167, 583, 13, a3, 000110
anagram, m60, t100, w2, 1592, 319, 8028, 9994, 133.8, 0.8667, 1370, 37, a5, 111010
parg, m2509, t52, w4, 426537, 54, 814, 430950, 0.3244, 1.0, 418, 2518, a5, 100111
huffmanCodingEff, m199, t50, w4, 10065, 144, 13785, 24680, 69.2714, 0.849, 1874, 239, a3, 001111
bubbleSort, m113, t50, w2, 3647, 167, 218641, 223215, 1934.8761, 0.9182, 1900, 41, a4, 000110
longestIncrease, m114, t50, w2, 4860, 9494, 129833, 144750, 1138.886, 0.9196, 1946, 70, a2, 110111
huffmanCodingEff, m199, t50, w4, 10231, 47, 13687, 24903, 68.7789, 0.849, 1874, 239, a3, 101111
mergeSort, m226, t50, w4, 6592, 148, 22838, 29669, 101.0531, 0.9336, 1900, 129, a2, 000010
squareMatrix, m182, t50, w8, 4675, 20, 10390, 15168, 57.0879, 1.0, 903, 72, a2, 101010
parg, m2509, t52, w4, 426522, 55, 2571, 429757, 1.0247, 1.0, 418, 2518, a2, 111011
insertSort, m108, t50, w4, 2337, 47, 12484, 14936, 115.5926, 0.9444, 1900, 40, a5, 110011
factorial, m31, t100, w2, 781, 319, 19584, 20745, 631.7419, 0.9677, 403, 18, a3, 101011
insertSort, m108, t50, w4, 2399, 49, 12345, 14866, 114.3056, 0.9444, 1900, 40, a2, 111011
minProd, m181, t50, w4, 4445, 156, 5298, 9983, 29.2707, 0.7845, 1946, 72, a2, 011010
insertSort, m108, t50, w8, 2352, 149, 6333, 8908, 58.6389, 0.9444, 1900, 40, a3, 010010
parg, m2509, t52, w2, 438195, 175, 8736, 457243, 3.4819, 1.0, 418, 2518, a2, 010111
primes, m68, t100, w4, 1166, 104, 2523, 3930, 37.1029, 0.8793, 398, 30, a3, 110111
add, m12, t100, w2, 281, 309, 427, 1072, 35.5833, 0.9167, 583, 13, a4, 110011
quickSort, m127, t50, w8, 4640, 143, 15006, 20132, 118.1575, 0.9603, 1900, 56, a3, 011111
genPassword, m49, t100, w2, 1482, 313, 5520, 7384, 112.6531, 0.8367, 398, 63, a2, 111010
mergeSort, m226, t50, w2, 10230, 162, 68202, 78684, 301.7788, 0.9336, 1900, 129, a4, 110010
insertSort, m108, t50, w4, 2382, 154, 12181, 14790, 112.787, 0.9444, 1900, 40, a5, 010010
transpose, m149, t50, w4, 3792, 53, 21157, 25093, 141.9933, 0.8993, 903, 40, a5, 111010
parg, m2509, t52, w8, 435328, 21, 6052, 452761, 2.4121, 1.0, 418, 2518, a4, 100110
transpose, m149, t50, w2, 5865, 158, 62273, 68382, 417.9396, 0.8993, 903, 40, a4, 101010
huffmanCodingEff, m199, t50, w2, 15113, 162, 40910, 56852, 205.5779, 0.849, 1874, 239, a3, 001111
huffmanCoding, m314, t50, w4, 17855, 159, 34245, 52429, 109.0605, 0.9013, 1874, 318, a3, 000011
insertSort, m108, t50, w8, 2322, 20, 6326, 8912, 58.5741, 0.9444, 1900, 40, a2, 110111
factorial, m31, t100, w2, 1564, 316, 19518, 21653, 629.6129, 0.9677, 403, 18, a4, 111100
mergeSort, m226, t50, w8, 7097, 139, 10548, 17979, 46.6726, 0.9336, 1900, 129, a2, 010111
genPassword, m49, t100, w2, 1449, 318, 5500, 7330, 112.2449, 0.8367, 398, 63, a3, 010010
selectSort, m92, t50, w2, 3061, 164, 40087, 43635, 435.7283, 0.9101, 1900, 45, a3, 011111
factorial, m31, t100, w2, 788, 321, 19608, 20901, 632.5161, 0.9677, 403, 18, a2, 100111
squareMatrix, m182, t50, w8, 4690, 21, 10311, 15806, 56.6538, 1.0, 903, 72, a3, 100110
parg, m2509, t52, w8, 436974, 23, 822, 439556, 0.3276, 1.0, 418, 2518, a3, 100111
parg, m2509, t52, w4, 425071, 52, 973, 429896, 0.3878, 1.0, 418, 2518, a5, 111111
add, m12, t100, w2, 288, 318, 384, 1044, 32, 0.9167, 583, 13, a2, 011011
huffmanCodingEff, m199, t50, w2, 15370, 163, 40733, 56907, 204.6884, 0.849, 1874, 239, a3, 111111
quickSort, m127, t50, w2, 6825, 163, 77063, 84882, 606.7953, 0.9603, 1900, 56, a3, 001110
dictionaryOrder, m71, t100, w4, 1204, 95, 11684, 13320, 164.5634, 0.9265, 8248, 32, a2, 100111
huffmanCodingEff, m199, t50, w8, 10262, 129, 6013, 17434, 30.2161, 0.849, 1874, 239, a2, 000110
longestIncrease, m114, t50, w2, 4799, 9791, 132907, 148157, 1165.8509, 0.9196, 1946, 70, a3, 101111
maxArrSumNeg, m112, t50, w8, 2683, 147, 10123, 13088, 90.3839, 0.9358, 1910, 63, a3, 000111
maxArrSumNeg, m112, t50, w8, 2667, 146, 10131, 13075, 90.4554, 0.9358, 1910, 63, a2, 010111
mergeSort, m226, t50, w8, 7004, 20, 10542, 17817, 46.646, 0.9336, 1900, 129, a3, 100111
maxArrSumNeg, m112, t50, w8, 2632, 21, 10367, 13149, 92.5625, 0.9358, 1910, 63, a2, 110111
dictionaryOrder, m71, t100, w4, 1184, 102, 11666, 13424, 164.3099, 0.9265, 8248, 32, a2, 111110
huffmanCodingEff, m199, t50, w4, 10353, 51, 13733, 24873, 69.0101, 0.849, 1874, 239, a2, 111111
parg, m2509, t52, w2, 428896, 176, 8726, 448438, 3.4779, 1.0, 418, 2518, a3, 101111
add, m12, t100, w2, 264, 324, 351, 1073, 29.25, 0.9167, 583, 13, a2, 100110
factorial, m31, t100, w8, 511, 42, 5083, 5706, 163.9677, 0.9677, 403, 18, a2, 110010
squareMatrix, m182, t50, w8, 4859, 131, 10402, 15477, 57.1538, 1.0, 903, 72, a3, 001010
huffmanCoding, m314, t50, w2, 26757, 165, 72552, 100813, 231.0573, 0.9013, 1874, 318, a5, 100111
factorial, m31, t100, w4, 514, 298, 7078, 7953, 228.3226, 0.9677, 403, 18, a2, 000011
anagram, m60, t100, w8, 1008, 269, 5002, 6383, 83.3667, 0.9286, 1370, 37, a3, 010111
parg, m2509, t52, w2, 438208, 179, 5122, 454104, 2.0415, 1.0, 418, 2518, a5, 011111
bubbleSort, m113, t50, w2, 3716, 166, 216555, 221223, 1916.4159, 0.9182, 1900, 41, a3, 101110
add, m12, t100, w2, 280, 312, 398, 1053, 33.1667, 0.9167, 583, 13, a2, 111010
minProd, m181, t50, w4, 4353, 150, 5306, 9889, 29.3149, 0.7845, 1946, 72, a2, 010011
primes, m68, t100, w2, 1764, 317, 7215, 9558, 106.1029, 0.8793, 398, 30, a3, 000111
parg, m2509, t52, w8, 436061, 21, 821, 437521, 0.3272, 1.0, 418, 2518, a2, 101010
huffmanCoding, m314, t50, w2, 26798, 163, 72129, 100254, 229.7102, 0.9013, 1874, 318, a5, 111111
minProd, m181, t50, w4, 4432, 156, 5285, 9951, 29.1989, 0.7845, 1946, 72, a3, 000011
mergeSort, m226, t50, w8, 6866, 20, 10575, 17551, 46.792, 0.9336, 1900, 129, a2, 100010
squareMatrix, m182, t50, w8, 4694, 138, 10330, 15510, 56.7582, 1.0, 903, 72, a2, 000111
dictionaryOrder, m71, t100, w2, 3606, 331, 33568, 37814, 472.7887, 0.9265, 8248, 32, a3, 111101
dictionaryOrder, m71, t100, w4, 1166, 99, 11612, 13343, 163.5493, 0.9265, 8248, 32, a2, 101111
add, m12, t100, w2, 281, 315, 427, 1081, 35.5833, 0.9167, 583, 13, a3, 000010
transpose, m149, t50, w2, 5761, 158, 62387, 68389, 418.7047, 0.8993, 903, 40, a4, 010011
factorial, m31, t100, w8, 492, 39, 5085, 5680, 164.0323, 0.9677, 403, 18, a2, 111011
squareMatrix, m182, t50, w4, 4640, 47, 23192, 27961, 127.4286, 1.0, 903, 72, a3, 110011
parg, m2509, t52, w8, 435110, 96, 816, 436627, 0.3252, 1.0, 418, 2518, a2, 001010
